,,,,
FSO15 - IR date,,,,
,,,,
,,,,
cm-1,%T,,,
2942,101.74,,,
2941,101.79,,,
2940,101.82,,,
2939,101.85,,,
2938,101.88,,,
2937,101.91,,,
2936,101.91,,,
2935,101.89,,,
2934,101.86,,,
2933,101.85,,,
2932,101.88,,,
2931,101.93,,,
2930,101.97,,,
2929,102,,,
2928,102.04,,,
2927,102.09,,,
2926,102.13,,,
2925,102.15,,,
2924,102.16,,,
2923,102.19,,,
2922,102.22,,,
2921,102.27,,,
2920,102.31,,,
2919,102.35,,,
2918,102.37,,,
2917,102.36,,,
2916,102.35,,,
2915,102.34,,,
2914,102.34,,,
2913,102.34,,,
2912,102.35,,,
2911,102.34,,,
2910,102.33,,,
2909,102.33,,,
2908,102.33,,,
2907,102.33,,,
2906,102.33,,,
2905,102.33,,,
2904,102.32,,,
2903,102.33,,,
2902,102.35,,,
2901,102.37,,,
2900,102.4,,,
2899,102.43,,,
2898,102.45,,,
2897,102.46,,,
2896,102.46,,,
2895,102.46,,,
2894,102.46,,,
2893,102.46,,,
2892,102.47,,,
2891,102.49,,,
2890,102.51,,,
2889,102.52,,,
2888,102.52,,,
2887,102.52,,,
2886,102.53,,,
2885,102.55,,,
2884,102.57,,,
2883,102.6,,,
2882,102.62,,,
2881,102.63,,,
2880,102.63,,,
2879,102.63,,,
2878,102.63,,,
2877,102.64,,,
2876,102.65,,,
2875,102.65,,,
2874,102.64,,,
2873,102.65,,,
2872,102.66,,,
2871,102.69,,,
2870,102.72,,,
2869,102.75,,,
2868,102.76,,,
2867,102.76,,,
2866,102.74,,,
2865,102.73,,,
2864,102.74,,,
2863,102.76,,,
2862,102.78,,,
2861,102.78,,,
2860,102.78,,,
2859,102.79,,,
2858,102.82,,,
2857,102.85,,,
2856,102.89,,,
2855,102.92,,,
2854,102.95,,,
2853,102.95,,,
2852,102.96,,,
2851,102.97,,,
2850,102.99,,,
2849,103.03,,,
2848,103.05,,,
2847,103.07,,,
2846,103.06,,,
2845,103.05,,,
2844,103.04,,,
2843,103.04,,,
2842,103.05,,,
2841,103.05,,,
2840,103.06,,,
2839,103.07,,,
2838,103.08,,,
2837,103.09,,,
2836,103.09,,,
2835,103.1,,,
2834,103.11,,,
2833,103.12,,,
2832,103.12,,,
2831,103.12,,,
2830,103.13,,,
2829,103.15,,,
2828,103.18,,,
2827,103.2,,,
2826,103.2,,,
2825,103.2,,,
2824,103.19,,,
2823,103.17,,,
2822,103.18,,,
2821,103.2,,,
2820,103.25,,,
2819,103.29,,,
2818,103.32,,,
2817,103.32,,,
2816,103.33,,,
2815,103.34,,,
2814,103.36,,,
2813,103.37,,,
2812,103.38,,,
2811,103.39,,,
2810,103.39,,,
2809,103.39,,,
2808,103.4,,,
2807,103.41,,,
2806,103.42,,,
2805,103.43,,,
2804,103.44,,,
2803,103.44,,,
2802,103.44,,,
2801,103.44,,,
2800,103.43,,,
2799,103.42,,,
2798,103.42,,,
2797,103.42,,,
2796,103.44,,,
2795,103.46,,,
2794,103.5,,,
2793,103.52,,,
2792,103.53,,,
2791,103.53,,,
2790,103.52,,,
2789,103.52,,,
2788,103.53,,,
2787,103.54,,,
2786,103.55,,,
2785,103.56,,,
2784,103.56,,,
2783,103.57,,,
2782,103.59,,,
2781,103.6,,,
2780,103.62,,,
2779,103.63,,,
2778,103.64,,,
2777,103.64,,,
2776,103.64,,,
2775,103.64,,,
2774,103.64,,,
2773,103.65,,,
2772,103.65,,,
2771,103.66,,,
2770,103.66,,,
2769,103.67,,,
2768,103.67,,,
2767,103.67,,,
2766,103.68,,,
2765,103.7,,,
2764,103.73,,,
2763,103.75,,,
2762,103.75,,,
2761,103.75,,,
